
        X res  30, Y res  40

                  Eye

             x     y     z 

           0.50  0.50 -1.00

                 Rays

   x   y     x     y     z    mag

   7   0  -0.23 -0.44  0.87  1.00
   7   1  -0.23 -0.41  0.88  1.00
   7   2  -0.24 -0.39  0.89  1.00
   7   3  -0.24 -0.36  0.90  1.00
   7   4  -0.24 -0.33  0.91  1.00
   7   5  -0.25 -0.31  0.92  1.00
   7   6  -0.25 -0.28  0.93  1.00
   7   7  -0.25 -0.25  0.94  1.00
   7   8  -0.25 -0.22  0.94  1.00
   7   9  -0.25 -0.19  0.95  1.00
   7  10  -0.25 -0.16  0.95  1.00
   7  11  -0.26 -0.13  0.96  1.00
   7  12  -0.26 -0.10  0.96  1.00
   7  13  -0.26 -0.06  0.96  1.00
   7  14  -0.26 -0.03  0.97  1.00
   7  15  -0.26  0.00  0.97  1.00
   7  16  -0.26  0.03  0.97  1.00
   7  17  -0.26  0.06  0.96  1.00
   7  18  -0.26  0.10  0.96  1.00
   7  19  -0.26  0.13  0.96  1.00
   7  20  -0.25  0.16  0.95  1.00
   7  21  -0.25  0.19  0.95  1.00
   7  22  -0.25  0.22  0.94  1.00
   7  23  -0.25  0.25  0.94  1.00
   7  24  -0.25  0.28  0.93  1.00
   7  25  -0.25  0.31  0.92  1.00
   7  26  -0.24  0.33  0.91  1.00
   7  27  -0.24  0.36  0.90  1.00
   7  28  -0.24  0.39  0.89  1.00
   7  29  -0.23  0.41  0.88  1.00
   7  30  -0.23  0.44  0.87  1.00
   7  31  -0.23  0.46  0.86  1.00
   7  32  -0.23  0.48  0.85  1.00
   7  33  -0.22  0.50  0.84  1.00
   7  34  -0.22  0.52  0.82  1.00
   7  35  -0.22  0.54  0.81  1.00
   7  36  -0.21  0.56  0.80  1.00
   7  37  -0.21  0.58  0.79  1.00
   7  38  -0.21  0.60  0.78  1.00
   7  39  -0.20  0.61  0.76  1.00

   8   0  -0.20 -0.44  0.88  1.00
   8   1  -0.21 -0.41  0.89  1.00
   8   2  -0.21 -0.39  0.90  1.00
   8   3  -0.21 -0.36  0.91  1.00
   8   4  -0.21 -0.34  0.92  1.00
   8   5  -0.22 -0.31  0.93  1.00
   8   6  -0.22 -0.28  0.93  1.00
   8   7  -0.22 -0.25  0.94  1.00
   8   8  -0.22 -0.22  0.95  1.00
   8   9  -0.22 -0.19  0.96  1.00
   8  10  -0.22 -0.16  0.96  1.00
   8  11  -0.23 -0.13  0.97  1.00
   8  12  -0.23 -0.10  0.97  1.00
   8  13  -0.23 -0.06  0.97  1.00
   8  14  -0.23 -0.03  0.97  1.00
   8  15  -0.23  0.00  0.97  1.00
   8  16  -0.23  0.03  0.97  1.00
   8  17  -0.23  0.06  0.97  1.00
   8  18  -0.23  0.10  0.97  1.00
   8  19  -0.23  0.13  0.97  1.00
   8  20  -0.22  0.16  0.96  1.00
   8  21  -0.22  0.19  0.96  1.00
   8  22  -0.22  0.22  0.95  1.00
   8  23  -0.22  0.25  0.94  1.00
   8  24  -0.22  0.28  0.93  1.00
   8  25  -0.22  0.31  0.93  1.00
   8  26  -0.21  0.34  0.92  1.00
   8  27  -0.21  0.36  0.91  1.00
   8  28  -0.21  0.39  0.90  1.00
   8  29  -0.21  0.41  0.89  1.00
   8  30  -0.20  0.44  0.88  1.00
   8  31  -0.20  0.46  0.86  1.00
   8  32  -0.20  0.48  0.85  1.00
   8  33  -0.20  0.50  0.84  1.00
   8  34  -0.19  0.52  0.83  1.00
   8  35  -0.19  0.54  0.82  1.00
   8  36  -0.19  0.56  0.80  1.00
   8  37  -0.18  0.58  0.79  1.00
   8  38  -0.18  0.60  0.78  1.00
   8  39  -0.18  0.61  0.77  1.00

   9   0  -0.18 -0.44  0.88  1.00
   9   1  -0.18 -0.42  0.89  1.00
   9   2  -0.18 -0.39  0.90  1.00
   9   3  -0.18 -0.37  0.91  1.00
   9   4  -0.18 -0.34  0.92  1.00
   9   5  -0.19 -0.31  0.93  1.00
   9   6  -0.19 -0.28  0.94  1.00
   9   7  -0.19 -0.25  0.95  1.00
   9   8  -0.19 -0.22  0.96  1.00
   9   9  -0.19 -0.19  0.96  1.00
   9  10  -0.19 -0.16  0.97  1.00
   9  11  -0.19 -0.13  0.97  1.00
   9  12  -0.20 -0.10  0.98  1.00
   9  13  -0.20 -0.07  0.98  1.00
   9  14  -0.20 -0.03  0.98  1.00
   9  15  -0.20  0.00  0.98  1.00
   9  16  -0.20  0.03  0.98  1.00
   9  17  -0.20  0.07  0.98  1.00
   9  18  -0.20  0.10  0.98  1.00
   9  19  -0.19  0.13  0.97  1.00
   9  20  -0.19  0.16  0.97  1.00
   9  21  -0.19  0.19  0.96  1.00
   9  22  -0.19  0.22  0.96  1.00
   9  23  -0.19  0.25  0.95  1.00
   9  24  -0.19  0.28  0.94  1.00
   9  25  -0.19  0.31  0.93  1.00
   9  26  -0.18  0.34  0.92  1.00
   9  27  -0.18  0.37  0.91  1.00
   9  28  -0.18  0.39  0.90  1.00
   9  29  -0.18  0.42  0.89  1.00
   9  30  -0.18  0.44  0.88  1.00
   9  31  -0.17  0.46  0.87  1.00
   9  32  -0.17  0.49  0.86  1.00
   9  33  -0.17  0.51  0.85  1.00
   9  34  -0.17  0.53  0.83  1.00
   9  35  -0.16  0.55  0.82  1.00
   9  36  -0.16  0.57  0.81  1.00
   9  37  -0.16  0.58  0.80  1.00
   9  38  -0.16  0.60  0.78  1.00
   9  39  -0.15  0.62  0.77  1.00

  10   0  -0.15 -0.44  0.88  1.00
  10   1  -0.15 -0.42  0.90  1.00
  10   2  -0.15 -0.39  0.91  1.00
  10   3  -0.15 -0.37  0.92  1.00
  10   4  -0.15 -0.34  0.93  1.00
  10   5  -0.16 -0.31  0.94  1.00
  10   6  -0.16 -0.28  0.95  1.00
  10   7  -0.16 -0.25  0.95  1.00
  10   8  -0.16 -0.22  0.96  1.00
  10   9  -0.16 -0.19  0.97  1.00
  10  10  -0.16 -0.16  0.97  1.00
  10  11  -0.16 -0.13  0.98  1.00
  10  12  -0.16 -0.10  0.98  1.00
  10  13  -0.16 -0.07  0.98  1.00
  10  14  -0.16 -0.03  0.99  1.00
  10  15  -0.16  0.00  0.99  1.00
  10  16  -0.16  0.03  0.99  1.00
  10  17  -0.16  0.07  0.98  1.00
  10  18  -0.16  0.10  0.98  1.00
  10  19  -0.16  0.13  0.98  1.00
  10  20  -0.16  0.16  0.97  1.00
  10  21  -0.16  0.19  0.97  1.00
  10  22  -0.16  0.22  0.96  1.00
  10  23  -0.16  0.25  0.95  1.00
  10  24  -0.16  0.28  0.95  1.00
  10  25  -0.16  0.31  0.94  1.00
  10  26  -0.15  0.34  0.93  1.00
  10  27  -0.15  0.37  0.92  1.00
  10  28  -0.15  0.39  0.91  1.00
  10  29  -0.15  0.42  0.90  1.00
  10  30  -0.15  0.44  0.88  1.00
  10  31  -0.15  0.47  0.87  1.00
  10  32  -0.14  0.49  0.86  1.00
  10  33  -0.14  0.51  0.85  1.00
  10  34  -0.14  0.53  0.84  1.00
  10  35  -0.14  0.55  0.82  1.00
  10  36  -0.14  0.57  0.81  1.00
  10  37  -0.13  0.59  0.80  1.00
  10  38  -0.13  0.60  0.79  1.00
  10  39  -0.13  0.62  0.77  1.00

  11   0  -0.12 -0.44  0.89  1.00
  11   1  -0.12 -0.42  0.90  1.00
  11   2  -0.12 -0.39  0.91  1.00
  11   3  -0.12 -0.37  0.92  1.00
  11   4  -0.12 -0.34  0.93  1.00
  11   5  -0.13 -0.31  0.94  1.00
  11   6  -0.13 -0.29  0.95  1.00
  11   7  -0.13 -0.26  0.96  1.00
  11   8  -0.13 -0.23  0.97  1.00
  11   9  -0.13 -0.19  0.97  1.00
  11  10  -0.13 -0.16  0.98  1.00
  11  11  -0.13 -0.13  0.98  1.00
  11  12  -0.13 -0.10  0.99  1.00
  11  13  -0.13 -0.07  0.99  1.00
  11  14  -0.13 -0.03  0.99  1.00
  11  15  -0.13  0.00  0.99  1.00
  11  16  -0.13  0.03  0.99  1.00
  11  17  -0.13  0.07  0.99  1.00
  11  18  -0.13  0.10  0.99  1.00
  11  19  -0.13  0.13  0.98  1.00
  11  20  -0.13  0.16  0.98  1.00
  11  21  -0.13  0.19  0.97  1.00
  11  22  -0.13  0.23  0.97  1.00
  11  23  -0.13  0.26  0.96  1.00
  11  24  -0.13  0.29  0.95  1.00
  11  25  -0.13  0.31  0.94  1.00
  11  26  -0.12  0.34  0.93  1.00
  11  27  -0.12  0.37  0.92  1.00
  11  28  -0.12  0.39  0.91  1.00
  11  29  -0.12  0.42  0.90  1.00
  11  30  -0.12  0.44  0.89  1.00
  11  31  -0.12  0.47  0.88  1.00
  11  32  -0.12  0.49  0.86  1.00
  11  33  -0.11  0.51  0.85  1.00
  11  34  -0.11  0.53  0.84  1.00
  11  35  -0.11  0.55  0.83  1.00
  11  36  -0.11  0.57  0.81  1.00
  11  37  -0.11  0.59  0.80  1.00
  11  38  -0.11  0.61  0.79  1.00
  11  39  -0.10  0.62  0.78  1.00

  12   0  -0.09 -0.45  0.89  1.00
  12   1  -0.09 -0.42  0.90  1.00
  12   2  -0.09 -0.40  0.91  1.00
  12   3  -0.09 -0.37  0.92  1.00
  12   4  -0.09 -0.34  0.93  1.00
  12   5  -0.09 -0.31  0.94  1.00
  12   6  -0.10 -0.29  0.95  1.00
  12   7  -0.10 -0.26  0.96  1.00
  12   8  -0.10 -0.23  0.97  1.00
  12   9  -0.10 -0.20  0.98  1.00
  12  10  -0.10 -0.16  0.98  1.00
  12  11  -0.10 -0.13  0.99  1.00
  12  12  -0.10 -0.10  0.99  1.00
  12  13  -0.10 -0.07  0.99  1.00
  12  14  -0.10 -0.03  0.99  1.00
  12  15  -0.10  0.00  1.00  1.00
  12  16  -0.10  0.03  0.99  1.00
  12  17  -0.10  0.07  0.99  1.00
  12  18  -0.10  0.10  0.99  1.00
  12  19  -0.10  0.13  0.99  1.00
  12  20  -0.10  0.16  0.98  1.00
  12  21  -0.10  0.20  0.98  1.00
  12  22  -0.10  0.23  0.97  1.00
  12  23  -0.10  0.26  0.96  1.00
  12  24  -0.10  0.29  0.95  1.00
  12  25  -0.09  0.31  0.94  1.00
  12  26  -0.09  0.34  0.93  1.00
  12  27  -0.09  0.37  0.92  1.00
  12  28  -0.09  0.40  0.91  1.00
  12  29  -0.09  0.42  0.90  1.00
  12  30  -0.09  0.45  0.89  1.00
  12  31  -0.09  0.47  0.88  1.00
  12  32  -0.09  0.49  0.87  1.00
  12  33  -0.09  0.51  0.85  1.00
  12  34  -0.08  0.53  0.84  1.00
  12  35  -0.08  0.55  0.83  1.00
  12  36  -0.08  0.57  0.82  1.00
  12  37  -0.08  0.59  0.80  1.00
  12  38  -0.08  0.61  0.79  1.00
  12  39  -0.08  0.62  0.78  1.00

  13   0  -0.06 -0.45  0.89  1.00
  13   1  -0.06 -0.42  0.90  1.00
  13   2  -0.06 -0.40  0.92  1.00
  13   3  -0.06 -0.37  0.93  1.00
  13   4  -0.06 -0.34  0.94  1.00
  13   5  -0.06 -0.32  0.95  1.00
  13   6  -0.06 -0.29  0.96  1.00
  13   7  -0.06 -0.26  0.96  1.00
  13   8  -0.06 -0.23  0.97  1.00
  13   9  -0.07 -0.20  0.98  1.00
  13  10  -0.07 -0.16  0.98  1.00
  13  11  -0.07 -0.13  0.99  1.00
  13  12  -0.07 -0.10  0.99  1.00
  13  13  -0.07 -0.07  1.00  1.00
  13  14  -0.07 -0.03  1.00  1.00
  13  15  -0.07  0.00  1.00  1.00
  13  16  -0.07  0.03  1.00  1.00
  13  17  -0.07  0.07  1.00  1.00
  13  18  -0.07  0.10  0.99  1.00
  13  19  -0.07  0.13  0.99  1.00
  13  20  -0.07  0.16  0.98  1.00
  13  21  -0.07  0.20  0.98  1.00
  13  22  -0.06  0.23  0.97  1.00
  13  23  -0.06  0.26  0.96  1.00
  13  24  -0.06  0.29  0.96  1.00
  13  25  -0.06  0.32  0.95  1.00
  13  26  -0.06  0.34  0.94  1.00
  13  27  -0.06  0.37  0.93  1.00
  13  28  -0.06  0.40  0.92  1.00
  13  29  -0.06  0.42  0.90  1.00
  13  30  -0.06  0.45  0.89  1.00
  13  31  -0.06  0.47  0.88  1.00
  13  32  -0.06  0.49  0.87  1.00
  13  33  -0.06  0.51  0.86  1.00
  13  34  -0.06  0.53  0.84  1.00
  13  35  -0.06  0.55  0.83  1.00
  13  36  -0.05  0.57  0.82  1.00
  13  37  -0.05  0.59  0.81  1.00
  13  38  -0.05  0.61  0.79  1.00
  13  39  -0.05  0.62  0.78  1.00

  14   0  -0.03 -0.45  0.89  1.00
  14   1  -0.03 -0.42  0.91  1.00
  14   2  -0.03 -0.40  0.92  1.00
  14   3  -0.03 -0.37  0.93  1.00
  14   4  -0.03 -0.34  0.94  1.00
  14   5  -0.03 -0.32  0.95  1.00
  14   6  -0.03 -0.29  0.96  1.00
  14   7  -0.03 -0.26  0.97  1.00
  14   8  -0.03 -0.23  0.97  1.00
  14   9  -0.03 -0.20  0.98  1.00
  14  10  -0.03 -0.16  0.99  1.00
  14  11  -0.03 -0.13  0.99  1.00
  14  12  -0.03 -0.10  0.99  1.00
  14  13  -0.03 -0.07  1.00  1.00
  14  14  -0.03 -0.03  1.00  1.00
  14  15  -0.03  0.00  1.00  1.00
  14  16  -0.03  0.03  1.00  1.00
  14  17  -0.03  0.07  1.00  1.00
  14  18  -0.03  0.10  0.99  1.00
  14  19  -0.03  0.13  0.99  1.00
  14  20  -0.03  0.16  0.99  1.00
  14  21  -0.03  0.20  0.98  1.00
  14  22  -0.03  0.23  0.97  1.00
  14  23  -0.03  0.26  0.97  1.00
  14  24  -0.03  0.29  0.96  1.00
  14  25  -0.03  0.32  0.95  1.00
  14  26  -0.03  0.34  0.94  1.00
  14  27  -0.03  0.37  0.93  1.00
  14  28  -0.03  0.40  0.92  1.00
  14  29  -0.03  0.42  0.91  1.00
  14  30  -0.03  0.45  0.89  1.00
  14  31  -0.03  0.47  0.88  1.00
  14  32  -0.03  0.49  0.87  1.00
  14  33  -0.03  0.51  0.86  1.00
  14  34  -0.03  0.53  0.84  1.00
  14  35  -0.03  0.55  0.83  1.00
  14  36  -0.03  0.57  0.82  1.00
  14  37  -0.03  0.59  0.81  1.00
  14  38  -0.03  0.61  0.79  1.00
  14  39  -0.03  0.62  0.78  1.00

  15   0   0.00 -0.45  0.89  1.00
  15   1   0.00 -0.42  0.91  1.00
  15   2   0.00 -0.40  0.92  1.00
  15   3   0.00 -0.37  0.93  1.00
  15   4   0.00 -0.34  0.94  1.00
  15   5   0.00 -0.32  0.95  1.00
  15   6   0.00 -0.29  0.96  1.00
  15   7   0.00 -0.26  0.97  1.00
  15   8   0.00 -0.23  0.97  1.00
  15   9   0.00 -0.20  0.98  1.00
  15  10   0.00 -0.16  0.99  1.00
  15  11   0.00 -0.13  0.99  1.00
  15  12   0.00 -0.10  1.00  1.00
  15  13   0.00 -0.07  1.00  1.00
  15  14   0.00 -0.03  1.00  1.00
  15  15   0.00  0.00  1.00  1.00
